,userName,score,at,content
122,Muhammad Intan Raja,2,2022-10-08 00:24:10,"Kecewa setelah di update harus mulai lg keanggotaan, padahal udh download banyak"
123,rudi diyo,1,2022-10-07 15:31:39,ini gimna cara masuknya hampir berhasil teruss padahal udah masukin gmail ikutin semua petunjuk tetep aja gak masuk masukk
124,Heru Prasetyo,4,2022-10-07 14:26:06,Agak ribet untuk rubah settingan warna subtitle. Tolong dibuatkan menu yg lebih gampang baru kasih bintang 5
125,ayu tunjung,1,2022-10-07 14:02:28,ngelag dari sore ampe malem udah pake wifi udah ganti sellular data.. tetep aja down
126,Agatta Destiani,5,2022-10-07 13:54:34,"Baguss banget semua drama, flm tuh lengkap semuaa, oiya tolong yaa Drama Jepang nya atau flm nya ditambahkan lagi, saya pengen nonton drama Toru Nakamura, tapi disitu hanya muncul 1 drama aja, tolong di perbarui lagi ya Versi Jepang nya biar lebih banyak 🙏🇯🇵 semangat 🔛🔥"
127,Odink SNDA,2,2022-10-06 12:53:41,Aplikasi netflik bawaan hp yang berlokasi di daerah timur tengah menggunankan bahasa arab dan untuk dan saya berulang kali mencari untuk mengganti bahasa tidak menemukan tolong diperbaiki karna ridak semua bisa tulisan arab
128,Salsa Billa,1,2022-10-06 11:06:35,Udah langganan tpi gabisa dibuka Kan percuma
129,Sholeh Saputra,1,2022-10-05 14:44:53,"kenapa filmnya ga lengkap, seperti no body, expendables aja yang pertama ga ada"
130,Hadrianus Rosmawardi Dian Lestari,5,2022-10-05 12:32:53,"Filmnya banyak yang update. Jadi tambah seru aja kalo mw nonton, banyak banget pilihannya 👍😄"
131,Darin Fadhilah,5,2022-10-05 07:09:52,"Dear Netflix, please tambahin fitur perbesar dan kecilin subtitle. Biar lebih ramah ke mata yang sudah mulai tua ini seperti aplikasi tetangga. Biar bisa nonton di hp lagi. Sekarang cuman bisa di TV. Terima kasih!"
132,kurniaone 610,1,2022-10-04 14:56:26,"Aplikasi tidak bisa di buka, sudah isi email dan sandi malah menungu dan menunggu, sampai sekarang tidak bisa di buka aplikasinya, apakah ini aplikasi SAMPAH ??"
133,rachman halim,1,2022-10-04 13:57:08,Udh g bisa di akses lagi Tiap login gagal terus
134,Mas Diya,4,2022-10-04 12:30:15,"Koleksinya memang bagus, tapi nonton film di sini harus hati2 karena belakangan ini banyak sekali film yg adegan2-nya secara tidak langsung mengkampanyekan LGBT, yg seperti itu jmlnya di netflix jauh lebih banyak dibanding film di penyedia layanan lainnya."
135,fajar setiawan,3,2022-10-04 11:10:47,"Harusnya ada pengaturan ""Subtitle Appreance"" di Indonesia, kurang baik."
136,Meyke Yusuf,1,2022-10-04 07:22:16,Ini aplikasi apaan sih...sudah daftar..sudah update tetap gk bisa di buka aplikasinya buat di pake nonton..di hapus aja..👎👎👎👎
137,Ika Mahayana (Gajah),5,2022-10-04 07:18:45,"Tidak dapat sign in lagi setelah log out. Tidak berjalan aplikasinya. Saya sudah instal ulang di HP, akan tetapi di smart TV tetap bisa hanya sering berhenti. Situs juga tidak bisa dibuka."
138,Ami' Mience,2,2022-10-04 03:54:38,Ini kenapa gak bisa dibuka sih aplikasinya 😡😡😡
139,eric ismadani,1,2022-10-03 14:54:27,"Padahal Subs sama bahasa nya udah gue buat bahasa Indonesia, tapi tetap aja pas mutar film ada yang bahasa Jepang, china, thailand, malah ada yang bahasa Spanyol. Udah aplikasi nya bayar, engga bagus lagi."
140,bedjo,5,2022-10-03 14:19:02,bayar mah ogah ah mending uninstal. duit mah beliin beras aja sama bensin. wkwkwk. tapi tetap saya kasih bintang lima. terimakasih
141,Rendy Setiawan,1,2022-10-03 02:00:34,Tolong untuk pihak Netflix: ketika ingin melakukan penagihan.. jangan lakukan 2 kali dalam 1 hari.. jika begini trus saldo di rekening saya bisa habis.. terima kasih
142,amirah marsa,1,2022-10-02 14:35:25,"Td saya buka error trs, trs Saya coba uninstall dan saya instal lg malah gk bisa, gmn nih netflix paketan sy baru beli."
143,dewi asri,5,2022-10-02 12:07:23,"Bagus dan lancar aja, bingung kenapa banyak yang kasih bintang 1, mungkin emg perangkat dan sinyal nya aja kali bermasalah bukan dari netflix nya 😂😂😂"
144,J B,5,2022-10-02 09:10:28,"Puas bgt . Gambar bagus . Subtitle oke . Saran : -Masukkan harry potter series di Netflix Malaysia -Pastikan semua film ada sub Indonesia. Kadang ada film yg tidak ada sub indo , kayak film Mandarin n Thailand"
145,Abd Rahman,2,2022-10-01 17:56:05,Knp GK bisa login padahal udah masukin email. In gmn
146,Duo Raza,1,2022-10-01 16:17:01,Gak ada ya metode pembayaran pake pulsa hp ? Repot banget harus punya credit card segala mcm. Mana saya bukan pengguna dompet online lagi.
147,da bayu,4,2022-10-01 13:04:39,"Untuk next update nya, tolong untuk fitur rubah warna subtitle nya diperbaiki lagi, karena di film anime, fiturnya tidak berfungsi."
148,Ikhwan Wahyudi,5,2022-10-01 08:18:37,"Luar biasa kualitas suara dan gambarnya, memuaskan"
149,Maurits Mpg,1,2022-10-01 06:46:00,Koneksinya lambat
150,Amir Agro,1,2022-10-01 02:52:52,"Tidak suka dengan aplikasinya karena mengharuskan berlangganan, tidak gratis"
151,Supri Anto,1,2022-10-01 01:28:23,👎👎👎👎 aplikasi ini ngk bagus ngk bisa di buka.
152,Rahadian Rahman,1,2022-09-30 23:05:28,Kenapa ngk bisa di pakai di wifi dan semua acount tiba2 ngk bisa di buka
153,Nuh Agung,3,2022-09-30 10:10:42,Filmnya bagus tapi subtitle nya tolong benerin
154,Eko Prasetyo,1,2022-09-29 17:53:47,"Kenapa ada film yg macet2, serasa nonton kaset vcd aja. Film yg macet2 pas ditonton ""The Outsider"", padahal tulisannya film original netflix."
155,aldhira nadhir,4,2022-09-29 16:14:38,Suka banget. Hanya saja akun saya tiba2 sprti sdh jatuh tempo padahal msih 10 hari lagi. Disruh ubah metode pembayaran udh di ubah tpi ga bisa2 sampe bingung. Akhirnya pake akun suami😥
156,Aulia Kusuma,4,2022-09-29 15:21:08,Apakah tidak ada fitur mengubah warna atau memberi line pada subtittle? Sangat merepotkan saat warnanya nyaru dengan videonya.
157,Jon Kondor,2,2022-09-29 15:01:04,"Resolusi video kadang bagus, namun lebih sering buram. Dan itu amat sangat buruk sekali. Tolong diperbaiki !"
158,fery panjaitan,5,2022-09-29 13:38:12,"Tolong diperbaiki subtitle warna sisi luar nya kalau bisa ada warna hitamnya, kalo putih semua sulit kebaca"
159,fauzi samosir,1,2022-09-29 13:02:04,"saya uninstal, gak seruh banyak penipuan"
160,Doni Yuki,1,2022-09-29 10:26:31,"Subtitle indonesia nya benerin woy gblok, gimana mau nonton tulisan ga keliatan jelas gitu"
161,Agin 023,5,2022-09-28 23:08:46,B5 itu penting maka dari itu film BORUTO:NARUTO NEXT GENERATION tayang kan kembali
162,Muhammad Noor Ifansyah (iF4N B4Nj4r),2,2022-09-28 16:29:47,"Kenapa sekarang kualitas netflix menurun, saya beli paket premium 186rb tp tidak bisa nonton lebih dari 1 perangkat, padahal utk premium bisa lebih dari 1 perangkat"
163,Loe Teddy Oliver,1,2022-09-28 07:56:57,"Saya sudah selesai pembayaran dan login pass, email bener semua. Kok tulisannya salah terus ??? Dan ditulis pembayaran lagi ?? Serius deh mending nonton film bajakan dr pada mempersulit seperti ini"
164,Melvin Tantino,5,2022-09-27 23:51:13,Aplikasinya bagus filmnya lengkap dan kualitas HD Saya meminta semua Audio di semua film itu ada subtitle Indonesia
165,Devita Project,1,2022-09-27 15:49:37,Gagal perpanjang langganan karena saldo tidak cukup. Malah minus 5000 dicoba sampe gagal 7 kali. Saya udah kehilangan saldo 35rb. Ini Netflix gimana sih. KECEWA BERAT
166,Milkyzalxs,4,2022-09-27 12:35:56,"Good banget sih!! but, disini kekurangan nya subtitle nya gak bisa di edit gitu disesuaikan fontnya, sm ukuran besarnya yng sedang keliatan agak kecil, yng besar kebesaran.. dan btw klo bisa film"" yng cuma tayang di Netflix US, seperti : The Conjuring, Annabelle. Tolong tayangin ke Netflix indonesia juga🙏🏻"
167,Arya_Y0 7,5,2022-09-27 12:10:09,"Mantab sih, tapi sayang nya aja flim nya kurang lengkap :("
168,Wilbert Ganteng,1,2022-09-27 11:30:55,Aplikasi gk jelas udah masukin gmail dan sandi malah gabisa masuk
